block_number,erc20,address,balance_binary,balance_string,balance_f64,chain_id
18732000,0x786dbff3f1292ae8f92ea68cf93c30b34b1ed04b,0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,0x0000000000000000000000000000000000000000000006842c341d12aeace271,30772354317750067061361,3.077235431775007e22,1
18732001,0x786dbff3f1292ae8f92ea68cf93c30b34b1ed04b,0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,0x0000000000000000000000000000000000000000000006842c3648fc271574ec,30772354928981767976172,3.0772354928981767e22,1
18732002,0x786dbff3f1292ae8f92ea68cf93c30b34b1ed04b,0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,0x0000000000000000000000000000000000000000000006842c3874e5a03748c3,30772355540213481031875,3.077235554021348e22,1
18732003,0x786dbff3f1292ae8f92ea68cf93c30b34b1ed04b,0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,0x0000000000000000000000000000000000000000000006842c3aa0cf1a125df7,30772356151445206228471,3.0772356151445205e22,1
18732004,0x786dbff3f1292ae8f92ea68cf93c30b34b1ed04b,0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,0x0000000000000000000000000000000000000000000006842c3cccb894a6b487,30772356762676943565959,3.0772356762676945e22,1
18732005,0x786dbff3f1292ae8f92ea68cf93c30b34b1ed04b,0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,0x0000000000000000000000000000000000000000000006842c3ef8a20ff44c74,30772357373908693044340,3.0772357373908694e22,1
18732006,0x786dbff3f1292ae8f92ea68cf93c30b34b1ed04b,0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,0x0000000000000000000000000000000000000000000006842c41248b8bfb25be,30772357985140454663614,3.0772357985140455e22,1
18732007,0x786dbff3f1292ae8f92ea68cf93c30b34b1ed04b,0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,0x0000000000000000000000000000000000000000000006842c43507508bb4065,30772358596372228423781,3.077235859637223e22,1
18732008,0x786dbff3f1292ae8f92ea68cf93c30b34b1ed04b,0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,0x0000000000000000000000000000000000000000000006842c457c5e86349c6a,30772359207604014324842,3.0772359207604015e22,1
18732009,0x786dbff3f1292ae8f92ea68cf93c30b34b1ed04b,0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,0x0000000000000000000000000000000000000000000006842c47a848046739cd,30772359818835812366797,3.0772359818835814e22,1
18732010,0x786dbff3f1292ae8f92ea68cf93c30b34b1ed04b,0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,0x0000000000000000000000000000000000000000000006842c49d4318353188d,30772360430067622549645,3.077236043006762e22,1
18732011,0x786dbff3f1292ae8f92ea68cf93c30b34b1ed04b,0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,0x0000000000000000000000000000000000000000000006842c4c001b02f838ac,30772361041299444873388,3.0772361041299445e22,1
18732012,0x786dbff3f1292ae8f92ea68cf93c30b34b1ed04b,0x00171ab2f44c1c9b21c7696eb1a5c601f05a9167,0x0000000000000000000000000000000000000000000006842c4e2c0483569a28,30772361652531279338024,3.0772361652531278e22,1
