block_number,transaction_index,log_index,transaction_hash,address,topic0,chain_id,event__reserve,event__user,event__onBehalfOf,event__amount_binary,event__amount_string,event__amount_f64,event__interestRateMode,event__borrowRate_binary,event__borrowRate_string,event__borrowRate_f64,event__referralCode
18732003,107,217,0xa9ed85dc7cf69d2eed439c0218d26b28b8dacb6f0a38d91961461c294ca2171a,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb3d084820fb1a9decffb176436bd02558d15fac9b0ddfed8c465bc7359d7dce0,1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x38c8e07deae64b53869f5142c001ad570637cfee,0x38c8e07deae64b53869f5142c001ad570637cfee,0x000000000000000000000000000000000000000000000000000000002cb41780,750000000,750000000.0,2,0x00000000000000000000000000000000000000000029356f13e85a0a6bc5efdb,49818293050879551241318363,4.981829305087955e25,0
18732021,122,324,0x2d8c00350bab7c965858d66703af2a7d0a44229c4870681df317a71c666d45cb,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb3d084820fb1a9decffb176436bd02558d15fac9b0ddfed8c465bc7359d7dce0,1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x07068b6dd18602afc8110233d1966b0e73586670,0x07068b6dd18602afc8110233d1966b0e73586670,0x0000000000000000000000000000000000000000000000000000000015752a00,360000000,360000000.0,2,0x00000000000000000000000000000000000000000029357236c78230dff1edf2,49818350903883035088907762,4.981835090388303e25,0
18732037,32,126,0x81c134e3fbc914e8686ba6bdb6aa9704c0d140ac90b88c8f49b5d175b4f61d22,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb3d084820fb1a9decffb176436bd02558d15fac9b0ddfed8c465bc7359d7dce0,1,0x6b175474e89094c44da98b954eedeac495271d0f,0x5e4568c4d8343052a06ec8aab1e124af08b73248,0x5e4568c4d8343052a06ec8aab1e124af08b73248,0x00000000000000000000000000000000000000000000043c33c1937564800000,20000000000000000000000,2e22,2,0x0000000000000000000000000000000000000000003d19ee1b5ccd85d5b41080,73866926455330375241830528,7.386692645533038e25,0
18732076,1,30,0xf9d3411afae07d7eaa2e3f30e98fbbe34e74fed4ddbd8cd60c34959948ecc9ab,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb3d084820fb1a9decffb176436bd02558d15fac9b0ddfed8c465bc7359d7dce0,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x33e0c07139c57be6fa0bf5c3c39fffd826c79472,0x33e0c07139c57be6fa0bf5c3c39fffd826c79472,0x00000000000000000000000000000000000000000000000000b197d2c60e055f,49988002399520095,4.99880023995201e16,2,0x00000000000000000000000000000000000000000017048ff00c504c7cec2f87,27826838498759048331800455,2.7826838498759046e25,0
18732080,315,469,0x3a408b6ddd720330cd4366246d369440a310c67a8c0e2c6855af4a4327a5ea9d,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb3d084820fb1a9decffb176436bd02558d15fac9b0ddfed8c465bc7359d7dce0,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb4716496a7fd518c55054c7bc928093496de96b7,0xb4716496a7fd518c55054c7bc928093496de96b7,0x0000000000000000000000000000000000000000000000000000000867166f89,36089261961,36089261961.0,2,0x0000000000000000000000000000000000000000002e30693f6ef3d4a881e712,55839202772437191022995218,5.583920277243719e25,0
18732123,91,144,0x145f4e241f2bd2b4bb2eac4177755dedd54fe8ed5bb18df6afecf2efe7a51595,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb3d084820fb1a9decffb176436bd02558d15fac9b0ddfed8c465bc7359d7dce0,1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x1f244e040713b4139b4d98890db0d2d7d6468de4,0x1f244e040713b4139b4d98890db0d2d7d6468de4,0x000000000000000000000000000000000000000000000000000000e8d4a51000,1000000000000,1000000000000.0,2,0x0000000000000000000000000000000000000000002956721a9872ba61deca48,49974186966958774817835592,4.997418696695877e25,0
18732142,55,619,0xb02f6f04de242599142d5b8186bd43f7f8c8bfe1c9430bab6e750292c60161e2,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb3d084820fb1a9decffb176436bd02558d15fac9b0ddfed8c465bc7359d7dce0,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,0xf91dc62ecb1d2cfc6ee72e1e7a27288c20bb5486,0x0000000000000000000000000000000000000000000000056bc75e2d63100000,100000000000000000000,1e20,2,0x0000000000000000000000000000000000000000001705dc367b029407bc3af5,27832967892981370337377013,2.783296789298137e25,0
18732156,47,303,0x71de3f655522a51a4b97684822542655b23e42d08ec955ca55a0b06746e6c06f,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb3d084820fb1a9decffb176436bd02558d15fac9b0ddfed8c465bc7359d7dce0,1,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb748952c7bc638f31775245964707bcc5ddfabfc,0x877fa86cb160bb9df8df3464b6e485e606934865,0x0000000000000000000000000000000000000000000000000000000a282f0f8b,43623845771,43623845771.0,2,0x0000000000000000000000000000000000000000002957e2c7c80dec1fcde93c,49980987848141630342031676,4.998098784814163e25,6671
18732156,47,309,0x71de3f655522a51a4b97684822542655b23e42d08ec955ca55a0b06746e6c06f,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb3d084820fb1a9decffb176436bd02558d15fac9b0ddfed8c465bc7359d7dce0,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb748952c7bc638f31775245964707bcc5ddfabfc,0x877fa86cb160bb9df8df3464b6e485e606934865,0x00000000000000000000000000000000000000000000000000000009707c78cd,40541911245,40541911245.0,2,0x0000000000000000000000000000000000000000002ea1fbbd747983ede9b8e8,56375532490447434019354856,5.6375532490447434e25,6671
18732168,93,176,0x1ca71fc1f4e0c8ec608d952fc6ad97a5d34755010ee4923500a1c6d007ecd6af,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb3d084820fb1a9decffb176436bd02558d15fac9b0ddfed8c465bc7359d7dce0,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6031ff0514dfe14ffc705613d243853e345cb9e4,0x6031ff0514dfe14ffc705613d243853e345cb9e4,0x000000000000000000000000000000000000000000000000000000012358f600,4888000000,4888000000.0,2,0x00000000000000000000000000000000000000000036dd38bcbf85ba922962a4,66326683870308730806035108,6.632668387030873e25,0
18732199,227,400,0x6bc398e7db413c6ab45abb80c5df1285c89a0de0fdfd69ce1f0048c2a076ec18,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb3d084820fb1a9decffb176436bd02558d15fac9b0ddfed8c465bc7359d7dce0,1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x8761e0370f94f68db8eaa731f4fc581f6ad0bd68,0x3fd93da431ef7ec7ed0f43b09bb4ccf1b36e7e5f,0x00000000000000000000000000000000000000000000000000000003217b9db0,13446651312,13446651312.0,2,0x000000000000000000000000000000000000000000295863b2ab9c8f8f171f04,49983365956911722350976772,4.998336595691172e25,5936
18732236,129,352,0x3cfe302703bf48a5dd4e7ce69c40e93e508122b9970f950e923a0d3f52286800,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb3d084820fb1a9decffb176436bd02558d15fac9b0ddfed8c465bc7359d7dce0,1,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0xe7e61486cf7ecb8f87e60581810649faf84cbe59,0xe7e61486cf7ecb8f87e60581810649faf84cbe59,0x00000000000000000000000000000000000000000000000e0a58d7c25a2c0000,259000000000000000000,2.59e20,2,0x00000000000000000000000000000000000000000063cf34f334c096f1da138a,120662162759337942292501386,1.2066216275933795e26,0
